"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.168084500E-2,-5.178068161E0,6.735795975E0,4.783252239E0,9.750017399E0
2.404391800E-2,-5.350351334E0,6.769295216E0,4.902893543E0,9.924111154E0
2.640735500E-2,-5.505885124E0,6.790830612E0,5.036891460E0,1.008961976E1
2.877084500E-2,-5.649454117E0,6.829115868E0,5.161318302E0,1.025633277E1
3.113428200E-2,-5.752345562E0,6.855436802E0,5.297709465E0,1.039962590E1
3.349772000E-2,-5.800201893E0,6.872186661E0,5.395814896E0,1.048733092E1
3.586120900E-2,-5.845665932E0,6.881757736E0,5.467599869E0,1.055580637E1
3.822464700E-2,-5.848058701E0,6.867401123E0,5.469992638E0,1.054901930E1
4.058808400E-2,-5.788238049E0,6.843472958E0,5.453242779E0,1.049164804E1
4.295157400E-2,-5.711667538E0,6.831508636E0,5.405386448E0,1.041685456E1
4.531501200E-2,-5.582455158E0,6.798008919E0,5.333601475E0,1.028708100E1
4.767844900E-2,-5.443671703E0,6.776473522E0,5.242674351E0,1.015085166E1
5.004193900E-2,-5.324030399E0,6.759724140E0,5.139782906E0,1.002280093E1
5.240537600E-2,-5.199603558E0,6.774080753E0,5.034498692E0,9.913133928E0
5.476881400E-2,-5.137390137E0,6.766902447E0,4.948357105E0,9.832089512E0
5.713230300E-2,-5.108676434E0,6.774080753E0,4.855037212E0,9.775383946E0
5.949574100E-2,-5.099104881E0,6.781259537E0,4.773681164E0,9.735213575E0
6.185917800E-2,-5.115854740E0,6.759724140E0,4.728217602E0,9.706795654E0
6.422266800E-2,-5.166104317E0,6.723831654E0,4.709074974E0,9.699171770E0
6.658610500E-2,-5.237888813E0,6.671189308E0,4.795216560E0,9.743425879E0
6.894954300E-2,-5.355136871E0,6.673582554E0,4.876572609E0,9.848611853E0
7.131303200E-2,-5.508277893E0,6.692724705E0,4.922036171E0,9.967955126E0
7.367647000E-2,-5.647061348E0,6.714260101E0,4.955535889E0,1.007610671E1
7.603990700E-2,-5.742774487E0,6.738188744E0,4.957928658E0,1.014710318E1
7.840339700E-2,-5.809773445E0,6.735795975E0,4.957928658E0,1.018358834E1
8.076683400E-2,-5.840879917E0,6.735795975E0,4.945964336E0,1.019555731E1
8.313027200E-2,-5.852844238E0,6.685546398E0,4.924428940E0,1.015885410E1
8.549376200E-2,-5.824130535E0,6.697510719E0,4.852644444E0,1.011559709E1
8.785719900E-2,-5.747560024E0,6.742974281E0,4.713860512E0,1.003606643E1
9.022063700E-2,-5.663811207E0,6.774080753E0,4.589433670E0,9.951373214E0
9.258412600E-2,-5.596812248E0,6.805187702E0,4.496113777E0,9.891912156E0
9.494756400E-2,-5.505885124E0,6.812366009E0,4.421936035E0,9.812065019E0
9.731100100E-2,-5.438885689E0,6.819544315E0,4.340580463E0,9.743115568E0
9.967443900E-2,-5.357530117E0,6.845865726E0,4.256831646E0,9.679339965E0
1.020379280E-1,-5.328815937E0,6.867401123E0,4.185046673E0,9.647387892E0
1.044013660E-1,-5.328815937E0,6.888936520E0,4.163511276E0,9.653421767E0
1.067648550E-1,-5.324030399E0,6.876972198E0,4.189832687E0,9.653638913E0
1.091282930E-1,-5.338387489E0,6.860222340E0,4.237689018E0,9.670524275E0
1.114917300E-1,-5.379065514E0,6.850651264E0,4.304687977E0,9.715765905E0
1.138552200E-1,-5.424529076E0,6.836294174E0,4.354937077E0,9.753251287E0
1.162186570E-1,-5.465207100E0,6.814758778E0,4.433900356E0,9.796371686E0
1.185820950E-1,-5.515456200E0,6.814758778E0,4.522434711E0,9.864766090E0
1.209455840E-1,-5.560919762E0,6.819544315E0,4.596612453E0,9.927681467E0
1.233090220E-1,-5.596812248E0,6.845865726E0,4.677968502E0,1.000367803E1
1.256724590E-1,-5.608776093E0,6.869793892E0,4.733003139E0,1.005254973E1
1.280359490E-1,-5.620740414E0,6.900900364E0,4.776073933E0,1.010079357E1
1.303993870E-1,-5.639883041E0,6.924828529E0,4.816751957E0,1.014705032E1
1.327628240E-1,-5.663811207E0,6.953542709E0,4.874179840E0,1.020725931E1
1.351263140E-1,-5.659025669E0,6.941578388E0,4.922036171E0,1.021941887E1
1.374897510E-1,-5.656632900E0,6.958328247E0,4.943571568E0,1.023985975E1
1.398531890E-1,-5.668596745E0,6.970292568E0,4.957928658E0,1.026153128E1
1.422166780E-1,-5.687739372E0,6.963113785E0,4.972285271E0,1.027418871E1
1.445801160E-1,-5.711667538E0,6.936792850E0,4.972285271E0,1.026965734E1
1.469435530E-1,-5.733202934E0,6.958328247E0,4.955535889E0,1.028811372E1
1.493069910E-1,-5.769095421E0,6.951149940E0,4.914857864E0,1.028381132E1
1.516704800E-1,-5.816951752E0,6.929614544E0,4.876572609E0,1.027800787E1
1.540339180E-1,-5.838487148E0,6.915257454E0,4.852644444E0,1.026921983E1
1.563974070E-1,-5.888736725E0,6.886543751E0,4.819144726E0,1.026283883E1
1.587608450E-1,-5.984449387E0,6.838686943E0,4.811966419E0,1.028281549E1
1.611242820E-1,-6.082555294E0,6.786045074E0,4.840680122E0,1.031891810E1
1.634877720E-1,-6.206982136E0,6.747759819E0,4.850251675E0,1.037226258E1
1.658512090E-1,-6.338587284E0,6.623332977E0,5.075176716E0,1.047872355E1
1.682146470E-1,-6.422336102E0,6.585047722E0,5.127819061E0,1.053108650E1
1.705781370E-1,-6.465406895E0,6.652047157E0,5.053641319E0,1.056364086E1
1.729415740E-1,-6.518048763E0,6.723831654E0,5.056034088E0,1.064229075E1
1.753050120E-1,-6.532405853E0,6.786045074E0,5.051248550E0,1.068821060E1
1.776684490E-1,-6.503692150E0,6.845865726E0,4.996213913E0,1.068297911E1
1.800319390E-1,-6.458228111E0,6.867401123E0,4.902893543E0,1.062583049E1
1.823953760E-1,-6.384050846E0,6.853044033E0,4.804787636E0,1.052645724E1
1.847588140E-1,-6.295516491E0,6.850651264E0,4.689932346E0,1.041923299E1
1.871223030E-1,-6.218945980E0,6.812366009E0,4.587040901E0,1.030167773E1
1.894857410E-1,-6.151947021E0,6.783652306E0,4.517649174E0,1.021144186E1
1.918492300E-1,-6.082555294E0,6.759724140E0,4.431507587E0,1.011580985E1
1.942126680E-1,-6.032305717E0,6.759724140E0,4.378865242E0,1.006265589E1
1.965761050E-1,-6.005984783E0,6.769295216E0,4.366901398E0,1.004813608E1
1.989395430E-1,-5.965306759E0,6.764509678E0,4.352544308E0,1.001439553E1
